CREF ;CDETALLE ;IDFAMILIA ;CFORMATO ;LKIT ;LPESO ;NBENEFPVP ;NCOSTEDIV ;NCOSTEPROM ;NPCONIVA ;NPVP ;NSTOCKMAX ;NSTOCKMIN 
8810294;TOMA DE FUERZA ZF 6/90 PI?ON GUIADO;88;;0;0;30;176,9;0,01;271,3646;229,97;0;0
01.CASQUILLOTORNIL;CASQUILLO CON TORNILLO;1;;0;0;0;0;0;1,74;1,5;0;0
01.PLOMO.;PLOMO DE 12 PARA PRENSAR CABLE;1;;0;0;0;0;0;7,08;6;0;0
01AA0006;ARANDELA DE ALA ANCHA 6;1;;0;0;0;0,14;0,14;0;0;0;0
01AA0008;ARANDELA DE ALA ANCHA 8;1;;0;0;0;0,16;0,16;0;0;0;0
01AA0014;ARANDELA DE ALA ANCHA 14;1;;0;0;30;0,17;0,17;0,2596;0,22;0;0
01AA0016;ARANDELA DE ALA ANCHA 16;1;;0;0;30;0,21;0,21;0,3186;0,27;0;0
01AG0008;ARANDELA GROVER 8 MM;1;;0;0;25;0;0,02;0,0236;0,02;0;0
01AG0010;ARANDELA GROVER 10;1;;0;0;30;0,04;0,04;0,059;0,05;0;0
01AG0012;ARANDELA GROVER 12;1;;0;0;30;0,04;0,04;0,0826;0,07;0;0
01AG0014;ARANDELA GROVER 14;1;;0;0;30;0,05;0,05;0,118;0,1;0;0
01AG0016;ARANDELA GROVER 16;1;;0;0;30;0,08;0,11;0,177;0,15;0;0
01AP0006;ARANDELA PLANA 6;1;;0;0;0;0,01;0,01;0,0354;0,03;0;0
01AP0008;ARANDELA PLANA DE 8;1;;0;0;50;0,01;0,01;0,0236;0,02;0;0
01AP0010;ARANDELA PLANA 10;1;;0;0;30;0,02;0,02;0,0236;0,02;0;0
01AP0012;ARANDELA PLANA 12;1;;0;0;30;0,02;0,02;0,059;0,05;0;0
01AP0014;ARANDELA PLANA 14;1;;0;0;30;0,05;0,05;0,1062;0,09;0;0
01AP0016;ARANDELA PLANA 16;1;;0;0;30;0,04;0,04;0,118;0,1;0;0
01CA0630;TORNILLO CARROCERO 6 X 30;1;;0;0;35;0,05;0,05;0,0944;0,08;0;0
01CA0640;TORNILLO CARROCERO 6 X 40;1;;0;0;30;0,06;0,06;0,1298;0,11;0;0
01CA0650;TORNILLO CARROCERO 6 X 50;1;;0;0;30;0,13;0,13;0,1416;0,12;0;0
01CA0730;TORNILLO CARROCERO 7 X 30;1;;0;0;40;0,08;0,08;0,1534;0,13;0;0
01CA0740;TORNILLO CARROCERO 7 X 40;1;;0;0;30;0,08;0,08;0,1534;0,13;0;0
01CA0750;TORNILLO CARROCERO 7 X 50;1;;0;0;30;0,07;0,07;0,1416;0,12;0;0
01CA0760;TORNILLO CARROCERO 7 X 60;1;;0;0;40;0;0,11;0,177;0,15;0;0
01CA0880;TORNILLO CARROCERO 8 X 80;1;;0;0;40;0;0,11;0;0;0;0
01CA1040;TORNILLO CARROCERO 10 X 40;1;;0;0;30;0,12;0,12;0,1888;0,16;0;0
01CA1060;TORNILLO CARROCERO 10 X 60;1;;0;0;30;0,13;0,13;0,1888;0,16;0;0
01EA1025;TORNILLO EXG. ACERO 10 X 25;1;;0;0;30;0,09;0,09;0,2832;0,24;0;0
01EA1030;TORNILLO EXG. ACERO 10 X 30;1;;0;0;50;0,08;0,08;0,7434;0,63;0;0
01EA1035;TORNILLO EXG. ACERO 10 X 35;1;;0;0;30;0,12;0,12;0,5428;0,46;0;0
01EA1040;TORNILLO EXG. ACERO 10 X 40;1;;0;0;30;0,1;0,1;0,6372;0,54;0;0
01EA1050;TORNILLO EXG. ACERO 10 X 50;1;;0;0;40;0;0,11;0;0;0;0
01EA1240;TORNILLO EXG. ACERO 12 X 40;1;;0;0;30;0,13;0,13;0,354;0,3;0;0
01EA1250;TORNILLO EXG. ACERO 12 X 50;1;;0;0;30;0,16;0,16;0,354;0,3;0;0
01EA1440;TORNILLO EXG. ACERO 14 X 40;1;;0;0;50;0,19;0,19;1,4278;1,21;0;0
01EA1450;TORNILLO EXG. ACERO 14 X 50;1;;0;0;30;0,23;0,38;1,3806;1,17;0;0
01EA1460;TORNILLO EXG. ACERO 14X60;1;;0;0;17;0;0,01;0,0472;0,04;0;0
01EA1470;TORNILLO EXG. ACERO 14X70;1;;0;0;40;0;1;1,652;1,4;0;0
01EA1640;TORNILLO EXG. ACERO 16 X 40;1;;0;0;30;0,25;0,25;1,062;0,9;0;0
01EA1650;TORNILLO EXG. ACERO 16 X 50;1;;0;0;0;0,4;0,4;0;0;0;0
01EA1665;TORNILLO EXG. ACERO 16 X 65;1;;0;0;0;0,39;0,39;0;0;0;0
01EA1680;TORNILLO EXG. ACERO 16 X 80;1;;0;0;0;0;0;0;0;0;0
01EA2140;TRONILLO EXG. ACERO 12 X 140;1;;0;0;30;0,72;0,72;1,2626;1,07;0;0
01EC0630;TORNILLO EXG. CINCADO 6 X 30;1;;0;0;30;0,05;0,1;0,1534;0,13;0;0
01EC0815;TORNILLO EXG. CINCADO 8 X 15;1;;0;0;30;0,02;0,02;0,1416;0,12;0;0
01EC0820;TORNILLO EXG. CINCADO 8 X 20;1;;0;0;30;0,03;0,03;0,2006;0,17;0;0
01EC0825;TORNILLO EXG. CINCADO 8 X 25;1;;0;0;30;0,03;0,03;0,1888;0,16;0;0
01EC0830;TORNILLO EXG. CINCADO 8 X 30;1;;0;0;30;0,03;0,03;0,2714;0,23;0;0
01EC0840;TORNILLO EXG. CINCADO 8 X 40;1;;0;0;30;0,04;0,04;0,2596;0,22;0;0
